iter	Logloss
0	0.6649690074
1	0.6410083279
2	0.6180200851
3	0.5984556445
4	0.5790849496
5	0.5621984636
6	0.5456238057
7	0.531730385
8	0.518446361
9	0.5060909868
10	0.49528075
11	0.4860064361
12	0.477164045
13	0.4689101706
14	0.460852094
15	0.4542531614
16	0.4479990984
17	0.4417480952
18	0.4360625073
19	0.430913669
20	0.4262211833
21	0.4221797051
22	0.4179543403
23	0.4141171727
24	0.410805736
25	0.4079155298
26	0.4046305289
27	0.4023171927
28	0.3996721144
29	0.3971973935
30	0.3949926093
31	0.3929744528
32	0.3911066539
33	0.3893028552
34	0.3877412252
35	0.3861917804
36	0.3846818896
37	0.3832827965
38	0.3822168931
39	0.380988534
40	0.3798067311
41	0.3786497161
42	0.3775394884
43	0.3765641453
44	0.3755852573
45	0.3746226305
46	0.3738401574
47	0.3731876496
48	0.3722964266
49	0.3716487718
50	0.3709193953
51	0.3702761491
52	0.3695440361
53	0.3687659996
54	0.3681748099
55	0.36760038
56	0.36696469
57	0.3665685992
58	0.3660237527
59	0.3655869866
60	0.3651310881
61	0.3645277024
62	0.3640604019
63	0.363719891
64	0.3633672384
65	0.3628346914
66	0.3624335851
67	0.3620733892
68	0.3616847221
69	0.3611921226
70	0.36091208
71	0.3605555839
72	0.3601911911
73	0.3597622565
74	0.3594271025
75	0.3590813932
76	0.3587642323
77	0.3584434824
78	0.35816234
79	0.3578676606
80	0.3575785362
81	0.35731867
82	0.3570753593
83	0.3568846402
84	0.356563724
85	0.3562789466
86	0.3559808123
87	0.3556668202
88	0.3554021524
89	0.3550981793
90	0.3549182844
91	0.3547116271
92	0.3545378342
93	0.3543079226
94	0.3539961007
95	0.3537138609
96	0.3534583858
97	0.3532789289
98	0.3530584314
99	0.3528719425
100	0.3526428126
101	0.3524237628
102	0.3522751243
103	0.3521044634
104	0.3519138535
105	0.3516984115
106	0.3515266411
107	0.3513357568
108	0.3510594444
109	0.3508671798
110	0.3507389016
111	0.3505488509
112	0.3502807087
113	0.3501345451
114	0.3499886969
115	0.3497988537
116	0.349606012
117	0.3494697471
118	0.3493578753
119	0.3491686216
120	0.3490454262
121	0.3488527856
122	0.3487401384
123	0.348619232
124	0.3484868315
125	0.3483645959
126	0.3482496556
127	0.3481359327
128	0.3480557514
129	0.3478938104
130	0.3476827794
131	0.3475360816
132	0.3473940081
133	0.3472373078
134	0.3471055378
135	0.3469996896
136	0.3468670311
137	0.3466778018
138	0.3464867696
139	0.3463807129
140	0.3462864242
141	0.3461766303
142	0.3459622078
143	0.3457556029
144	0.3456031264
145	0.3454442892
146	0.3452449921
147	0.3450804723
148	0.344973192
149	0.3448823135
150	0.3447945342
151	0.3445695235
152	0.3444632642
153	0.3443442285
154	0.3442711975
155	0.3441800148
156	0.3440505771
157	0.3439886729
158	0.3439012043
159	0.3438082543
160	0.3437042382
161	0.3436202978
162	0.3435137508
163	0.3434205214
164	0.3433020234
165	0.3432122808
166	0.3430715809
167	0.3430057301
168	0.3429502689
169	0.3428350104
170	0.3427438193
171	0.3426160013
172	0.342516582
173	0.342424942
174	0.3423495797
175	0.3421847058
176	0.3420838194
177	0.3420093372
178	0.3419290214
179	0.3418518974
180	0.3417429704
181	0.341664795
182	0.3415642865
183	0.3414431447
184	0.3413461685
185	0.3412504866
186	0.3411052076
187	0.3410238451
188	0.3409489987
189	0.3408511834
190	0.3407499308
191	0.3406252929
192	0.3405455778
193	0.3404502492
194	0.3403637113
195	0.3402825599
196	0.3402042161
197	0.3400996649
198	0.3399985593
199	0.3399352964
200	0.3398692586
201	0.3397629795
202	0.3396100013
203	0.3395491783
204	0.3394515392
205	0.3393749456
206	0.3392353313
207	0.3391545293
208	0.3390600021
209	0.3389607419
210	0.3389105301
211	0.3388404684
212	0.338750188
213	0.3386583203
214	0.3385604576
